algoritmo,capacidade_memoria,threads,cores,threads_usados,qtd_sequencias,total_sequencias,size_arquivos,media_tamanho_sequencias,formato_arvore,tempo_execucao
clustalw,134743613440,24,16,19,86,3268,3065220,795.8677906976744,newick,79.96901485399576
clustalw,134743572480,24,16,6,100,3800,3681301,825.815,newick,285.7312176219999
clustalw,134743617536,24,16,8,26,988,880579,750.4357692307692,newick,57.39717831499729
clustalw,134743617536,24,16,8,41,1558,1500666,818.8917073170732,newick,88.41367890100082
clustalw,134743617536,24,16,14,15,570,537092,801.6473333333334,nexus,23.18190171400056
clustalw,134743617536,24,16,14,12,456,447519,837.1541666666667,newick,21.808941070998117
clustalw,134743617536,24,16,14,26,988,871785,743.5692307692308,newick,30.3131089769995
clustalw,134743617536,24,16,14,100,3800,3629409,812.5147999999999,nexus,140.08183335599824
clustalw,134743617536,24,16,14,100,3800,3637047,814.0944000000001,newick,123.83995536200018
clustalw,134743617536,24,16,8,79,3002,2730951,769.4110126582278,nexus,101.31588969300356
clustalw,134743617536,24,16,12,6,228,206631,767.86,nexus,18.441454166997573
clustalw,134743617536,24,16,12,100,3800,3598997,804.5199,nexus,157.60100351000438
clustalw,134743617536,24,16,12,100,3800,3619921,810.2125,newick,154.9778810259886
clustalw,134743617536,24,16,12,100,3800,3586288,802.2371,nexus,147.0977017940022
clustalw,134743617536,24,16,11,22,836,859659,886.3127272727273,newick,40.32238553100615
clustalw,134743617536,24,16,11,1,38,33827,751.66,newick,11.210209388009389
clustalw,134743617536,24,16,10,6,228,208705,778.3416666666667,nexus,17.905291410002974
clustalw,134743617536,24,16,10,74,2812,2653829,802.3602702702702,newick,95.88319639199472
clustalw,134743617536,24,16,4,24,912,898957,841.2775,nexus,102.81382308100001
clustalw,134743617536,24,16,4,54,2052,2020773,842.5422222222222,newick,228.33409977299743
clustalw,134743617536,24,16,4,43,1634,1487694,770.2162790697676,nexus,162.34446954599116
clustalw,134743617536,24,16,7,36,1368,1225866,753.9841666666666,nexus,52.98096014400653
clustalw,134743609344,24,16,22,50,1900,1823429,816.7878,newick,35.25710039498517
clustalw,134743609344,24,16,22,50,1900,1817590,813.9396,newick,39.408651810023
clustalw,134743609344,24,16,22,4,152,144284,806.7825,newick,9.934742412006017
clustalw,134743609344,24,16,2,50,1900,1823429,816.7878,newick,245.0303650329588
clustalw,134743609344,24,16,19,37,1406,1318805,794.8735135135136,newick,32.25191228999756
clustalw,134743609344,24,16,8,50,1900,1806181,808.0698,newick,110.47330754896393
clustalw,134743609344,24,16,8,50,1900,1811664,810.0233999999999,newick,102.41957261797506
clustalw,134743609344,24,16,14,50,1900,1759718,785.362,newick,46.83224264997989
clustalw,134743609344,24,16,14,3,114,100613,742.77,nexus,5.986504141998012
clustalw,134743609344,24,16,14,50,1900,1787712,799.5448,newick,40.522496072982904
clustalw,134743609344,24,16,10,32,1216,1120601,781.3375,newick,36.7880505049834
clustalw,134743609344,24,16,10,50,1900,1788139,799.4714,nexus,66.69773028697819
clustalw,134743609344,24,16,10,50,1900,1719112,764.0498,nexus,57.88693606999004
clustalw,134743609344,24,16,10,50,1900,1791352,801.2819999999999,newick,59.91015782102477
clustalw,134743609344,24,16,13,26,988,968208,837.8369230769232,nexus,35.26526917202864
clustalw,134743609344,24,16,13,18,684,658039,819.5877777777778,newick,24.93043548904825
clustalw,134743617536,24,16,23,50,1900,1767947,789.2314,newick,81.43381835699984
clustalw,134743617536,24,16,23,50,1900,1883874,848.1325999999999,nexus,97.22077227899717
clustalw,134743617536,24,16,23,3,114,110766,834.2733333333334,nexus,17.02982062699448
clustalw,134743617536,24,16,1,50,1900,1767947,789.2314,newick,600.5024557500001
clustalw,134743617536,24,16,22,50,1900,1806939,808.5596,nexus,98.71266298599949
clustalw,134743617536,24,16,1,50,1900,1806939,808.5596,nexus,610.2410591809967
clustalw,134743617536,24,16,2,50,1900,1721789,764.9972,newick,230.55295617699448
clustalw,134743617536,24,16,3,1,38,32170,703.63,nexus,4.841929546993924
clustalw,134743617536,24,16,20,50,1900,1839907,824.8262,nexus,40.573542138998164
clustalw,134743617536,24,16,3,18,684,659938,823.3444444444444,nexus,49.46904416700272
clustalw,134743617536,24,16,20,50,1900,1871682,840.8086,nexus,42.462955481998506
clustalw,134743617536,24,16,20,50,1900,1832558,820.877,nexus,49.23053962899576
clustalw,134743617536,24,16,3,50,1900,1838730,824.8586,newick,162.84561252300045
clustalw,134743617536,24,16,4,39,1482,1453458,838.4820512820513,newick,152.76635243499913
clustalw,134743617536,24,16,4,7,266,272376,880.0514285714286,newick,40.861129701996106
clustalw,134743617536,24,16,4,50,1900,1795428,801.3631999999999,newick,184.16169458600052
clustalw,134743617536,24,16,4,50,1900,1761413,785.5932,newick,175.25500971099973
clustalw,134743617536,24,16,14,33,1254,1226377,835.5224242424243,nexus,45.64798500400502
clustalw,134743617536,24,16,12,50,1900,1868943,839.5355999999999,newick,69.77029071799188
clustalw,134743617536,24,16,12,28,1064,1029821,823.7153571428571,newick,38.213351536003756
clustalw,134743617536,24,16,10,31,1178,1109697,801.5483870967741,nexus,33.76341739099007
clustalw,134743617536,24,16,9,50,1900,1803197,805.803,nexus,46.30692579099559
clustalw,134743617536,24,16,9,21,798,778371,830.5642857142857,newick,24.567500000004657
clustalw,134743617536,24,16,9,50,1900,1832721,821.563,newick,48.326180610005395
clustalw,134743617536,24,16,9,18,684,630957,781.3277777777778,newick,20.770733393001137
clustalw,134743715840,24,16,15,96,3648,3522090,823.7464583333334,nexus,114.18455352600722
clustalw,134743715840,24,16,10,26,988,942147,810.4115384615385,nexus,31.02667306600779
clustalw,134743715840,24,16,15,100,3800,3532722,787.6267,nexus,78.5684936040052
clustalw,134743715840,24,16,5,100,3800,3603587,804.4816000000001,nexus,252.65174902099534
clustalw,134743715840,24,16,2,31,1178,1140134,825.1819354838709,nexus,92.48958510003285
clustalw,134743715840,24,16,24,56,2128,2094233,840.7380357142857,nexus,50.96571669797413
clustalw,134743715840,24,16,24,38,1444,1368208,803.0907894736843,newick,37.23637842905009
clustalw,134743715840,24,16,24,80,3040,2913940,816.720875,nexus,69.92423695401521
